rep,proto,ber,e2e_delay,vel,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
6,reno,1000000,10000,700000kbps,20230905215611.667,10.0.3.20,40784,10.0.0.20,5001,3,0.0-10.3,39583744,30729425
6,reno,1000000,100000,700000kbps,connect failed: Network is unreachable
6,cubic,100000,10000,500000kbps,20230905215640.833,10.0.3.20,36768,10.0.0.20,5001,3,0.0-10.0,3670016,2928736
6,cubic,100000,100000,500000kbps,connect failed: Network is unreachable
6,cubic,100000,10000,700000kbps,20230905215709.077,10.0.3.20,37222,10.0.0.20,5001,3,0.0-10.0,4587520,3661553
6,cubic,100000,100000,700000kbps,connect failed: Network is unreachable
6,cubic,1000000,10000,500000kbps,connect failed: Network is unreachable
6,cubic,1000000,100000,500000kbps,20230905215815.738,10.0.3.20,41192,10.0.0.20,5001,3,0.0-10.2,7077888,5538514
6,cubic,1000000,10000,700000kbps,20230905215837.530,10.0.3.20,43288,10.0.0.20,5001,3,0.0-10.4,50462720,38780583
6,cubic,1000000,100000,700000kbps,20230905215926.959,10.0.3.20,37892,10.0.0.20,5001,3,0.0-10.0,7077888,5650112
7,reno,100000,10000,500000kbps,20230905215948.788,10.0.3.20,37918,10.0.0.20,5001,3,0.0-10.3,4718592,3664561
7,reno,100000,100000,500000kbps,connect failed: Network is unreachable
7,reno,100000,10000,700000kbps,connect failed: Network is unreachable
7,reno,100000,100000,700000kbps,20230905220039.578,10.0.3.20,52892,10.0.0.20,5001,3,0.0-11.7,222992,152007
7,reno,1000000,10000,500000kbps,20230905220100.608,10.0.3.20,57090,10.0.0.20,5001,3,0.0-10.2,79298560,61892869
7,reno,1000000,100000,500000kbps,connect failed: Network is unreachable
7,reno,1000000,10000,700000kbps,20230905220129.783,10.0.3.20,43092,10.0.0.20,5001,3,0.0-10.6,35127296,26593219
7,reno,1000000,100000,700000kbps,20230905220252.798,10.0.3.20,36348,10.0.0.20,5001,3,0.0-10.3,6207576,4823349
7,cubic,100000,10000,500000kbps,20230905220313.489,10.0.3.20,54490,10.0.0.20,5001,3,0.0-10.2,4194304,3289610
7,cubic,100000,100000,500000kbps,20230905220335.293,10.0.3.20,55494,10.0.0.20,5001,3,0.0-10.3,95568,74488
7,cubic,100000,10000,700000kbps,connect failed: Network is unreachable
7,cubic,100000,100000,700000kbps,20230905220505.910,10.0.3.20,59858,10.0.0.20,5001,3,0.0-10.3,786432,611748
7,cubic,1000000,10000,500000kbps,20230905220527.332,10.0.3.20,43708,10.0.0.20,5001,3,0.0-10.6,89260032,67098717
7,cubic,1000000,100000,500000kbps,20230905220650.348,10.0.3.20,53612,10.0.0.20,5001,3,0.0-10.3,7208960,5615250
7,cubic,1000000,10000,700000kbps,20230905220711.683,10.0.3.20,39712,10.0.0.20,5001,3,0.0-10.0,16252928,12968541
7,cubic,1000000,100000,700000kbps,20230905220804.116,10.0.3.20,38840,10.0.0.20,5001,3,0.0-12.6,10354688,6561196
